"Model","Parameter","Estimate","Std.Error","t.value","p.value"
"exp","a",29.6408713446337,0.792337973122245,37.4093787627425,2.55347672221894e-172
"exp","b",11.5081148954585,1.0815335638687,10.6405527113678,1.08557104274444e-24
"exp","c",3.22347753022903,0.814249548515007,3.95883244406813,8.26330364847215e-05
"lundqvist","a",35.8829442026749,3.27118190874395,10.9694126476913,4.92986330216564e-26
"lundqvist","b",4.33885042779739,0.359585431394108,12.066257553805,1.02790773825992e-30
"lundqvist","c",0.613640397910051,0.0723196000597693,8.48511879771046,1.18229151439348e-16
"logistic","a",29.2937133060201,1.50309839209019,19.4888860637291,1.63929344841107e-68
"logistic","b",0.0555632930815947,0.00594984343732981,9.33861431260292,1.13635765514447e-19
"logistic","c",1.12166759065903,0.0801621468621613,13.9924844152158,1.29614664103048e-39
"richards","a",24.5936331320931,0.657495399252586,37.4050269553979,2.70082222529045e-172
"richards","b",0.0599396594032235,0.00704027458613279,8.51382409448724,9.43953023285007e-17
"richards","c",0.864661899147896,0.0640732111524602,13.4949050249793,3.0735271159855e-37
"weibull","a",24.9740594306316,0.867465701300079,28.7896793996613,1.25989013640256e-122
"weibull","b",0.0853675490356629,0.00615962835375849,13.8592045059948,5.67133747341148e-39
"weibull","c",0.903351656825991,0.0466064303000613,19.3825541027287,6.44252004143354e-68
